[42432:44024:0419/154811.467:WARNING:chrome_main_delegate.cc(745)] This is Chrome version 128.0.6613.138 (not a warning)
[42432:44024:0419/154811.563:WARNING:account_consistency_mode_manager.cc(77)] Desktop Identity Consistency cannot be enabled as no OAuth client ID and client secret have been configured.
[51076:51104:0419/154820.202:WARNING:frame_impl.cc(430)] virtual CefFrameImpl::SendProcessMessage sent to detached frame 5-4F74E18C489D7D25B701B78B89651A77 will be ignored
[42432:50508:0419/172833.434:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=000010B40015AD40}, {new_limit=79})
[50608:51436:0419/174416.560:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #694).
[50608:51436:0419/174416.578:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #694).
[50608:51436:0419/174416.627:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #696).
[50608:51436:0419/174416.644:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #696).
[50608:51436:0419/174416.694:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #698).
[50608:51436:0419/174416.710:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #698).
[50608:51436:0419/174416.728:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #698).
[50608:51436:0419/174416.778:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #700).
[50608:51436:0419/174416.794:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #700).
[50608:51436:0419/174416.810:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #700).
[50608:51436:0419/174416.844:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #701).
[50608:51436:0419/174416.860:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #701).
[50608:51436:0419/174416.878:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #701).
[50608:51436:0419/174416.894:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #701).
[50608:51436:0419/174416.944:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #703).
[50608:51436:0419/174416.961:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #703).
[50608:51436:0419/174416.978:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #703).
[50608:51436:0419/174417.044:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #706).
[50608:51436:0419/174417.094:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #708).
[50608:51436:0419/174417.110:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #708).
[50608:51436:0419/174417.127:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #708).
[50608:51436:0419/174417.178:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #710).
[50608:51436:0419/174417.194:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #710).
[50608:51436:0419/174417.210:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #710).
[50608:51436:0419/174417.260:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #712).
[50608:51436:0419/174417.278:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #712).
[50608:51436:0419/174417.328:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #714).
[50608:51436:0419/174417.344:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #714).
[50608:51436:0419/174417.410:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #717).
[50608:51436:0419/174417.477:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #720).
[50608:51436:0419/174417.494:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #720).
[50608:51436:0419/174417.544:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #722).
[50608:51436:0419/174417.561:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #722).
[50608:51436:0419/174417.578:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #722).
[50608:51436:0419/174417.628:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #724).
[50608:51436:0419/174417.644:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #724).
[50608:51436:0419/174417.694:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #726).
[50608:51436:0419/174417.711:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #726).
[50608:51436:0419/174417.727:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #726).
[50608:51436:0419/174417.777:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #728).
[50608:51436:0419/174417.793:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #728).
[50608:51436:0419/174417.860:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #731).
[50608:51436:0419/174417.909:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #733).
[50608:51436:0419/174417.926:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #733).
[50608:51436:0419/174417.943:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #733).
[50608:51436:0419/174417.959:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #733).
[50608:51436:0419/174418.027:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #736).
[50608:51436:0419/174418.043:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #736).
[50608:51436:0419/174418.110:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #739).
[50608:51436:0419/174418.159:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #741).
[50608:51436:0419/174418.176:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #741).
[50608:51436:0419/174418.193:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #741).
[50608:51436:0419/174418.243:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #743).
[50608:51436:0419/174418.259:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #743).
[50608:51436:0419/174418.327:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #746).
[50608:51436:0419/174418.376:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #748).
[50608:51436:0419/174418.393:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #748).
[50608:51436:0419/174418.409:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #748).
[50608:51436:0419/174418.476:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #751).
[50608:51436:0419/174418.493:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #751).
[50608:51436:0419/174418.542:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #753).
[50608:51436:0419/174418.559:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #753).
[50608:51436:0419/174418.576:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #753).
[50608:51436:0419/174418.626:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #755).
[50608:51436:0419/174418.692:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #758).
[50608:51436:0419/174418.710:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #758).
[50648:50788:0419/174418.714:VERBOSE1:network_delegate.cc(36)] NetworkDelegate::NotifyBeforeURLRequest: https://img.edc-cdn.net/imgproxy/4vdMRGlfbt8o6XBhch7fdrviDfPNYkav9g3B4gKUYa8/filename:209thumbnail.png/resizing_type:fill/width:640/height:640/aHR0cHM6Ly9kMWl2N2RiNDR5aGd4bi5jbG91ZGZyb250Lm5ldC9pbWFnZXMvZGU5NjljZmEtZmU5NS00YmZjLTk2ZTMtMDMyN2MxMDRlNmYxLzIwOXRodW1ibmFpbC5wbmc
[50608:51436:0419/174418.759:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #760).
[50608:51436:0419/174418.776:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #760).
[50608:51436:0419/174418.843:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #763).
[50608:51436:0419/174418.859:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #763).
[50608:51436:0419/174418.927:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #766).
[50608:51436:0419/174418.976:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #768).
[50608:51436:0419/174418.993:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #768).
[50608:51436:0419/174419.009:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #768).
[50608:51436:0419/174419.027:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #768).
[50648:50788:0419/174419.029:VERBOSE1:network_delegate.cc(36)] NetworkDelegate::NotifyBeforeURLRequest: https://img.edc-cdn.net/imgproxy/ioJp7uetfReZ3Y9DOc61dZ6WeWNEGi-FVaQb9SdTznc/filename:6063-hub-thumbnail.png/resizing_type:fill/width:640/height:640/aHR0cHM6Ly9kMWl2N2RiNDR5aGd4bi5jbG91ZGZyb250Lm5ldC9pbWFnZXMvNGUzNDE4OWMtMmMzOS00MTIxLTk4N2UtZTU1ZDExZGI3YTgzLzYwNjMtaHViLXRodW1ibmFpbC5wbmc
[50608:51436:0419/174419.076:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #770).
[50608:51436:0419/174419.093:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #770).
[50608:51436:0419/174419.159:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #773).
[50608:51436:0419/174419.210:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #775).
[50608:51436:0419/174419.226:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #775).
[50608:51436:0419/174419.242:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #775).
[50608:51436:0419/174419.259:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #775).
[50608:51436:0419/174419.310:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #777).
[50608:51436:0419/174419.326:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #777).
[50608:51436:0419/174419.409:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #781).
[50608:51436:0419/174419.460:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #783).
[50608:51436:0419/174419.476:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #783).
[50608:51436:0419/174419.494:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #783).
[50608:51436:0419/174419.543:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #785).
[50608:51436:0419/174419.559:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #785).
[50608:51436:0419/174419.609:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #787).
[50608:51436:0419/174419.626:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #787).
[50608:51436:0419/174419.644:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #787).
[50608:51436:0419/174419.692:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #789).
[50608:51436:0419/174419.710:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #789).
[50608:51436:0419/174419.776:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #792).
[50608:51436:0419/174419.826:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #794).
[50608:51436:0419/174419.843:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #794).
[50608:51436:0419/174419.860:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #794).
[50608:51436:0419/174419.910:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #796).
[50608:51436:0419/174419.926:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #796).
[50608:51436:0419/174419.944:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #796).
[50608:51436:0419/174420.010:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #799).
[50608:51436:0419/174420.027:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #799).
[50608:51436:0419/174420.093:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #802).
[50608:51436:0419/174420.144:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #804).
[50608:51436:0419/174420.159:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #804).
[50608:51436:0419/174420.210:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #806).
[50608:51436:0419/174420.226:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #806).
[50608:51436:0419/174420.242:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #806).
[50608:51436:0419/174420.293:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #808).
[50608:51436:0419/174420.310:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #808).
[50608:51436:0419/174420.325:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #808).
[42432:50508:0419/174420.332:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=000010B40015AD40}, {new_limit=79})
[50608:51436:0419/174420.393:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #811).
[50608:51436:0419/174420.443:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #813).
[50608:51436:0419/174420.459:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #813).
[50608:51436:0419/174420.476:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #813).
[50608:51436:0419/174420.527:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #815).
[50608:51436:0419/174420.542:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #815).
[50608:51436:0419/174420.592:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #817).
[50608:51436:0419/174420.610:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #817).
[50608:51436:0419/174420.676:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #820).
[50608:51436:0419/174420.727:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #822).
[50608:51436:0419/174420.743:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #822).
[50608:51436:0419/174420.759:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #822).
[50608:51436:0419/174420.809:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #824).
[50608:51436:0419/174420.828:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #824).
[50608:51436:0419/174420.876:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #826).
[50608:51436:0419/174420.892:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #826).
[50608:51436:0419/174420.910:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #826).
[50608:51436:0419/174420.959:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #828).
[50608:51436:0419/174420.975:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #828).
[50608:51436:0419/174420.992:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #828).
[50608:51436:0419/174421.060:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #831).
[50608:51436:0419/174421.110:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #833).
[50608:51436:0419/174421.125:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #833).
[50608:51436:0419/174421.143:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #833).
[50608:51436:0419/174421.209:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #836).
[50608:51436:0419/174421.226:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #836).
[50608:51436:0419/174421.276:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #838).
[50608:51436:0419/174421.293:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #838).
[50608:51436:0419/174421.310:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #838).
[50608:51436:0419/174421.359:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #840).
[50608:51436:0419/174421.376:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #840).
[50608:51436:0419/174421.393:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #840).
[50608:51436:0419/174421.460:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #843).
[50608:51436:0419/174421.526:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #846).
[50608:51436:0419/174421.593:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #849).
[50608:51436:0419/174421.609:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #849).
[50608:51436:0419/174421.660:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #851).
[50608:51436:0419/174421.675:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #851).
[50608:51436:0419/174421.693:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #851).
[50608:51436:0419/174421.759:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #854).
[50608:51436:0419/174421.776:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #854).
[50608:51436:0419/174421.826:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #856).
[50608:51436:0419/174421.844:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #856).
[50608:51436:0419/174421.893:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #858).
[50608:51436:0419/174421.910:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #858).
[50608:51436:0419/174421.926:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #858).
[50608:51436:0419/174421.976:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #860).
[50608:51436:0419/174421.992:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #860).
[50608:51436:0419/174422.059:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #863).
[50608:51436:0419/174422.076:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #863).
[50608:51436:0419/174422.142:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #866).
[50608:51436:0419/174422.209:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #869).
[50608:51436:0419/174422.226:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #869).
[50608:51436:0419/174422.293:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #872).
[50608:51436:0419/174422.309:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #872).
[50608:51436:0419/174422.361:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #874).
[50608:51436:0419/174422.376:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #874).
[50608:51436:0419/174422.426:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #876).
[50608:51436:0419/174422.443:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #876).
[50608:51436:0419/174422.459:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #876).
[50608:51436:0419/174422.526:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #879).
[50608:51436:0419/174422.576:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #881).
[50608:51436:0419/174422.593:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #881).
[50608:51436:0419/174422.610:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #881).
[50608:51436:0419/174422.659:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #883).
[50608:51436:0419/174422.675:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #883).
[50608:51436:0419/174422.693:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #883).
[50608:51436:0419/174422.743:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #885).
[50608:51436:0419/174422.759:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #885).
[50608:51436:0419/174422.810:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #887).
[50608:51436:0419/174422.827:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #887).
[50608:51436:0419/174422.842:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #887).
[50608:51436:0419/174422.893:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #889).
[50608:51436:0419/174422.910:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #889).
[50608:51436:0419/174422.927:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #889).
[50608:51436:0419/174422.993:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #892).
[50608:51436:0419/174423.059:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #895).
[50608:51436:0419/174423.076:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #895).
[50608:51436:0419/174423.127:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #897).
[50608:51436:0419/174423.142:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #897).
[50608:51436:0419/174423.209:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #900).
[50608:51436:0419/174423.259:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #902).
[50608:51436:0419/174423.276:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #902).
[50608:51436:0419/174423.293:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #902).
[50608:51436:0419/174423.343:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #904).
[50608:51436:0419/174423.360:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #904).
[50608:51436:0419/174423.376:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #904).
[50608:51436:0419/174423.426:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #906).
[50608:51436:0419/174423.443:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #906).
[50608:51436:0419/174423.460:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #906).
[50608:51436:0419/174423.526:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #909).
[50608:51436:0419/174423.593:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #912).
[50608:51436:0419/174423.609:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #912).
[50608:51436:0419/174423.675:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #915).
[50608:51436:0419/174423.693:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #915).
[50608:51436:0419/174423.760:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #918).
[50608:51436:0419/174423.776:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #918).
[50608:51436:0419/174423.810:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #919).
[50608:51436:0419/174423.827:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #919).
[50608:51436:0419/174423.843:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #919).
[50608:51436:0419/174423.859:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #919).
[50608:51436:0419/174423.909:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #921).
[50608:51436:0419/174423.926:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #921).
[50608:51436:0419/174423.976:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #923).
[50608:51436:0419/174423.993:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #923).
[50608:51436:0419/174424.010:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #923).
[50608:51436:0419/174424.026:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #923).
[50608:51436:0419/174424.076:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #925).
[50608:51436:0419/174424.093:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #925).
[50608:51436:0419/174424.110:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #925).
[50608:51436:0419/174424.142:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #926).
[50608:51436:0419/174424.159:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #926).
[50608:51436:0419/174424.226:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #929).
[50608:51436:0419/174424.244:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #929).
[50608:51436:0419/174424.293:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #931).
[50608:51436:0419/174424.310:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #931).
